0,1,2,3,4,Class
645,282,442,115,280,1
356,365,607,72,364,1
419,385,529,71,360,1
683,325,377,123,256,1
539,287,500,141,297,1
569,350,421,104,320,1
809,251,330,194,180,1
299,376,591,71,427,1
699,271,422,179,193,1
668,296,452,128,220,1
397,398,509,52,408,1
464,343,530,97,330,1
527,257,519,121,340,1
718,257,340,175,274,1
404,435,538,50,337,1
382,387,533,60,402,1
548,338,446,111,321,1
291,339,563,78,493,1
685,320,458,101,200,1
353,387,589,70,365,1
675,266,414,153,256,1
490,296,502,139,337,1
506,367,469,97,325,1
503,378,517,80,286,1
732,279,398,117,238,1
658,266,450,139,251,1
481,359,490,89,345,1
803,185,377,179,220,1
829,181,344,177,233,1
527,335,459,116,327,1
522,307,511,117,307,1
457,392,491,81,343,1
500,341,514,90,319,1
599,335,453,123,254,1
516,345,498,99,306,1
406,382,522,71,383,1
701,249,420,177,217,1
860,217,293,221,173,1
808,243,371,162,180,1
556,292,448,143,325,1
371,377,556,72,388,1
575,300,488,140,261,1
514,270,523,100,357,1
607,289,451,128,289,1
923,189,329,159,164,1
814,149,369,257,175,1
683,305,425,155,196,1
860,206,351,152,195,1
707,292,383,157,225,1
366,393,543,72,390,1
352,444,560,32,376,1
435,374,530,90,335,1
563,340,476,96,289,1
707,269,371,154,263,1
506,391,485,62,320,1
346,441,521,32,424,1
326,496,566,11,365,1
892,173,247,238,214,1
531,386,478,86,283,1
547,288,498,120,311,1
475,379,503,86,321,1
592,282,450,122,318,1
800,176,410,205,173,1
322,410,568,69,395,1
662,268,418,162,254,1
424,402,502,58,378,1
654,282,417,154,257,1
413,380,491,81,399,1
528,305,480,132,319,1
724,278,389,163,210,1
374,381,549,59,401,1
865,163,354,205,177,1
609,324,441,96,294,1
573,324,429,117,321,1
623,313,415,136,277,1
469,358,511,86,340,1
659,327,426,110,242,1
702,215,407,197,243,1
744,365,282,100,273,1
619,378,420,110,237,1
735,255,395,164,215,1
561,290,480,126,307,1
410,393,519,53,389,1
643,265,439,167,250,1
634,276,435,90,329,1
661,339,399,97,268,1
776,156,350,131,351,1
447,428,497,68,324,1
601,284,401,151,327,1
680,347,390,121,226,1
517,376,498,58,315,1
603,199,493,197,272,1
573,342,469,76,304,1
789,289,355,157,174,1
394,447,550,51,322,1
950,162,312,190,150,1
794,200,396,185,189,1
